,rates
AED,3.940776
AFN,78.773403
ALL,107.703476
AMD,413.930742
ANG,1.934664
AOA,885.155538
ARS,375.46424
AUD,1.684233
AWG,1.931196
AZN,1.822107
BAM,1.954974
BBD,2.167464
BDT,117.819106
BGN,1.956091
BHD,0.404467
BIF,3038.843965
BMD,1.072887
BND,1.461869
BOB,7.417658
BRL,5.34244
BSD,1.073536
BTC,4.1660908e-05
BTN,89.179446
BWP,14.705922
BYN,2.710054
BYR,21028.576333
BZD,2.163865
CAD,1.461702
CDF,2666.123011
CHF,0.953281
CLF,0.033804
CLP,932.810435
CNY,7.836149
COP,4358.762533
CRC,576.137702
CUC,1.072887
CUP,28.431494
CVE,110.21739
CZK,24.17138
DJF,191.139216
DKK,7.45418
DOP,60.932543
DZD,146.924177
EGP,33.146202
ERN,16.093298
ETB,59.324968
EUR,1.0
FJD,2.441836
FKP,0.849857
GBP,0.854124
GEL,2.827046
GGP,0.849857
GHS,12.2376
GIP,0.849857
GMD,65.284938
GNF,9214.019841
GTQ,8.453073
GYD,224.590891
HKD,8.411913
HNL,26.435827
HRK,7.384464
HTG,145.347215
HUF,387.108112
IDR,16399.660968
ILS,4.071814
IMP,0.849857
INR,89.08864
IQD,1405.792743
IRR,45356.278894
ISK,143.316403
JEP,0.849857
JMD,165.478519
JOD,0.759713
JPY,158.271124
KES,156.587535
KGS,94.703436
KHR,4465.071233
KMF,488.163661
KPW,965.629183
KRW,1429.160223
KWD,0.331018
KYD,0.89463
KZT,494.520992
LAK,21170.460399
LBP,16134.22977
LKR,346.756676
LRD,199.557272
LSL,19.859226
LTL,3.167955
LVL,0.648978
LYD,5.170815
MAD,10.921978
MDL,19.161723
MGA,4841.795679
MKD,61.535126
MMK,2254.284199
MNT,3729.897435
MOP,8.669674
MRO,383.020313
MUR,48.97806
MVR,16.523625
MWK,1135.299006
MXN,18.562549
MYR,5.002332
MZN,67.860021
NAD,19.859416
NGN,798.761938
NIO,39.283397
NOK,11.501446
NPR,142.683711
NZD,1.826005
OMR,0.413058
PAB,1.073416
PEN,3.966513
PGK,3.929229
PHP,61.255925
PKR,330.225098
PLN,4.49341
PYG,7806.482328
QAR,3.906343
RON,4.952984
RSD,117.29115
RUB,104.815667
RWF,1277.924156
SAR,4.024436
SBD,8.979545
SCR,14.241061
SDG,645.094615
SEK,11.903355
SGD,1.459007
SHP,1.305435
SLE,24.080445
SLL,21189.509606
SOS,609.936158
SRD,40.99516
SSP,645.340118
STD,22206.585386
SYP,13949.134447
SZL,20.617478
THB,38.063332
TJS,11.791931
TMT,3.765832
TND,3.317906
TOP,2.561724
TRY,28.751534
TTD,7.276687
TWD,34.266906
TZS,2687.580977
UAH,39.647634
UGX,4004.344898
USD,1.072887
UYU,40.37256
UZS,13021.375186
VEF,3515939.060825
VES,34.480774
VND,25819.014768
VUV,130.364324
WST,2.981344
XAF,655.67377
XAG,0.045123
XAU,0.000557
XCD,2.89953
XDR,0.807151
XOF,655.67377
XPF,118.789732
YER,268.596982
ZAR,20.639816
ZMK,9657.270603
ZMW,21.979096
ZWL,345.469031
